Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,BOS,W,107,93,37,85,.435,7,29,.241,26,36,.722,12,62,24,6,7,15,34,,33,90,.367,7,26,.269,20,34,.588,10,41,18,4,2,10,29
2,2,2019-10-26,@,DET,W,117,111,42,87,.483,13,34,.382,20,30,.667,6,38,30,14,3,22,26,,41,76,.539,8,19,.421,21,36,.583,5,35,20,11,7,23,28
3,3,2019-10-28,@,ATL,W,105,103,37,88,.420,11,41,.268,20,25,.800,12,49,22,12,11,21,29,,36,84,.429,9,27,.333,22,32,.688,8,45,23,12,3,21,25
4,4,2019-10-30,,MIN,W,117,95,43,92,.467,9,25,.360,22,28,.786,16,56,24,14,6,22,27,,32,81,.395,10,35,.286,21,28,.750,6,34,12,13,6,21,21
5,5,2019-11-02,@,POR,W,129,128,54,107,.505,11,33,.333,10,12,.833,13,46,36,11,8,11,23,,45,78,.577,19,34,.559,19,25,.760,4,36,21,7,4,18,21
6,6,2019-11-04,@,PHO,L,109,114,42,89,.472,13,29,.448,12,20,.600,9,38,21,11,2,20,29,,41,77,.532,11,28,.393,21,27,.778,5,40,24,6,5,19,24
7,7,2019-11-06,@,UTA,L,104,106,33,80,.413,8,25,.320,30,34,.882,7,42,20,9,3,14,20,,41,89,.461,8,22,.364,16,24,.667,14,50,21,9,4,13,21
8,8,2019-11-08,@,DEN,L,97,100,38,86,.442,13,26,.500,8,17,.471,11,49,28,8,8,17,19,,39,87,.448,9,22,.409,13,17,.765,7,41,28,10,11,10,16
9,9,2019-11-10,,CHO,W,114,106,46,84,.548,10,28,.357,12,16,.750,10,49,29,9,5,20,16,,38,84,.452,14,33,.424,16,22,.727,6,31,22,9,1,13,19
10,10,2019-11-12,,CLE,W,98,97,40,89,.449,8,38,.211,10,13,.769,11,46,24,8,8,14,20,,38,86,.442,5,21,.238,16,20,.800,9,45,13,10,0,13,13
11,11,2019-11-13,@,ORL,L,97,112,40,91,.440,8,30,.267,9,13,.692,8,47,25,5,5,15,27,,38,86,.442,10,32,.313,26,34,.765,9,48,27,6,2,13,22
12,12,2019-11-15,@,OKC,L,119,127,45,90,.500,14,32,.438,15,22,.682,13,43,24,6,0,14,32,,41,76,.539,10,24,.417,35,41,.854,6,36,22,7,3,13,23
13,13,2019-11-17,@,CLE,W,114,95,46,84,.548,9,23,.391,13,17,.765,4,44,33,6,11,13,22,,34,90,.378,6,25,.240,21,24,.875,11,42,14,9,5,14,21
14,14,2019-11-20,,NYK,W,109,104,39,89,.438,13,32,.406,18,26,.692,10,44,30,5,5,10,14,,40,84,.476,13,25,.520,11,15,.733,7,42,17,8,6,14,25
15,15,2019-11-22,,SAS,W,115,104,46,89,.517,10,26,.385,13,19,.684,13,51,32,8,4,15,21,,43,85,.506,6,18,.333,12,16,.750,3,32,21,6,3,11,15
16,16,2019-11-23,,MIA,W,113,86,42,83,.506,14,29,.483,15,17,.882,8,44,28,11,2,14,27,,30,75,.400,6,24,.250,20,27,.741,9,38,12,6,4,17,16
17,17,2019-11-25,@,TOR,L,96,101,36,88,.409,15,40,.375,9,16,.563,14,51,25,7,3,16,20,,38,84,.452,11,34,.324,14,22,.636,8,40,27,5,5,10,18
18,18,2019-11-27,,SAC,W,97,91,36,77,.468,5,26,.192,20,24,.833,7,49,20,8,10,17,12,,39,95,.411,9,34,.265,4,9,.444,8,42,22,9,3,11,19
19,19,2019-11-29,@,NYK,W,101,95,31,72,.431,7,26,.269,32,40,.800,8,46,22,5,10,16,23,,34,78,.436,8,20,.400,19,33,.576,9,37,14,5,4,14,33
20,20,2019-11-30,,IND,W,119,116,38,77,.494,11,23,.478,32,36,.889,4,32,27,12,5,12,16,,42,76,.553,11,22,.500,21,25,.840,3,31,22,7,3,19,24
21,21,2019-12-02,,UTA,W,103,94,37,91,.407,13,26,.500,16,23,.696,8,47,24,12,3,14,22,,38,81,.469,5,22,.227,13,20,.650,5,42,23,6,8,19,26
22,22,2019-12-05,@,WAS,L,113,119,41,77,.532,13,28,.464,18,24,.750,8,44,25,7,6,21,24,,41,90,.456,11,27,.407,26,32,.813,13,41,25,9,1,11,20
23,23,2019-12-07,,CLE,W,141,94,57,90,.633,11,26,.423,16,23,.696,10,51,43,13,8,8,16,,36,96,.375,9,35,.257,13,17,.765,11,35,20,4,0,17,17
24,24,2019-12-08,,TOR,W,110,104,40,79,.506,14,32,.438,16,21,.762,6,40,31,7,5,18,18,,38,88,.432,11,33,.333,17,20,.850,13,42,21,13,4,18,22
25,25,2019-12-10,,DEN,W,97,92,37,89,.416,12,36,.333,11,16,.688,12,49,24,9,3,15,15,,37,85,.435,7,27,.259,11,12,.917,5,38,29,12,9,13,14
26,26,2019-12-12,@,BOS,W,115,109,41,82,.500,14,28,.500,19,23,.826,8,45,27,4,8,11,19,,42,91,.462,11,31,.355,14,17,.824,9,33,24,4,7,6,25
27,27,2019-12-13,,NOP,W,116,109,43,87,.494,7,20,.350,23,34,.676,9,47,24,7,8,9,24,,38,88,.432,9,24,.375,24,35,.686,12,45,24,5,2,9,29
28,28,2019-12-15,@,BRK,L,89,109,37,86,.430,5,26,.192,10,17,.588,7,38,19,9,13,16,20,,43,94,.457,9,24,.375,14,18,.778,12,51,22,9,1,16,23
29,29,2019-12-18,,MIA,L,104,108,38,90,.422,12,39,.308,16,18,.889,15,41,24,9,5,13,17,,40,85,.471,12,31,.387,16,20,.800,11,47,26,6,4,12,14
30,30,2019-12-20,,DAL,L,98,117,38,90,.422,10,34,.294,12,18,.667,11,46,25,9,2,15,16,,43,83,.518,14,33,.424,17,22,.773,8,49,23,10,4,16,17
31,31,2019-12-21,,WAS,W,125,108,49,94,.521,14,33,.424,13,21,.619,16,53,28,7,4,14,26,,36,88,.409,7,31,.226,29,34,.853,7,38,18,7,3,11,21
32,32,2019-12-23,@,DET,W,125,109,52,95,.547,12,30,.400,9,11,.818,17,48,33,8,8,12,21,,43,84,.512,10,30,.333,13,18,.722,6,30,27,9,1,13,14
33,33,2019-12-25,,MIL,W,121,109,44,101,.436,21,44,.477,12,15,.800,14,49,29,9,7,7,12,,45,95,.474,13,33,.394,6,8,.750,8,47,23,6,6,10,15
