Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,POR,W,108,100,34,81,.420,18,32,.563,22,27,.815,11,45,24,11,4,19,23,,36,87,.414,7,28,.250,21,23,.913,13,48,13,9,4,20,25
2,2,2019-10-25,,PHO,W,108,107,36,92,.391,7,27,.259,29,36,.806,8,45,21,7,12,14,26,,34,86,.395,8,28,.286,31,32,.969,10,54,25,5,1,17,35
3,3,2019-10-28,@,SAC,W,101,94,36,98,.367,10,36,.278,19,21,.905,19,54,19,8,5,10,18,,36,91,.396,12,37,.324,10,16,.625,15,48,25,6,8,12,21
4,4,2019-10-29,,DAL,L,106,109,43,91,.473,11,32,.344,9,13,.692,14,50,24,6,1,10,24,,41,84,.488,13,37,.351,14,24,.583,10,42,29,6,5,8,14
5,5,2019-10-31,@,NOP,L,107,122,43,89,.483,7,26,.269,14,16,.875,5,35,24,5,3,14,24,,41,77,.532,15,33,.455,25,32,.781,2,37,30,7,4,15,21
6,6,2019-11-02,@,ORL,W,91,87,27,73,.370,9,28,.321,28,39,.718,7,41,15,8,3,13,14,,37,86,.430,6,29,.207,7,11,.636,10,47,22,8,7,15,25
7,7,2019-11-05,,MIA,W,109,89,45,86,.523,9,23,.391,10,16,.625,9,47,35,10,3,19,21,,32,88,.364,9,29,.310,16,25,.640,13,44,23,12,5,13,21
8,8,2019-11-08,,PHI,W,100,97,39,87,.448,9,22,.409,13,17,.765,7,41,28,10,11,10,16,,38,86,.442,13,26,.500,8,17,.471,11,49,28,8,8,17,19
9,9,2019-11-10,@,MIN,W,100,98,39,101,.386,11,28,.393,11,17,.647,14,57,26,6,4,20,30,,34,97,.351,6,45,.133,24,33,.727,15,53,22,9,10,12,23
10,10,2019-11-12,,ATL,L,121,125,46,104,.442,11,41,.268,18,22,.818,15,40,31,7,5,3,24,,44,83,.530,15,34,.441,22,34,.647,10,45,30,1,5,14,21
11,11,2019-11-14,,BRK,W,101,93,43,101,.426,10,33,.303,5,10,.500,14,62,26,4,3,7,14,,36,95,.379,8,38,.211,13,16,.813,7,51,19,3,2,7,14
12,12,2019-11-17,@,MEM,W,131,114,49,89,.551,18,32,.563,15,23,.652,6,39,36,10,10,12,24,,39,84,.464,16,36,.444,20,24,.833,9,45,29,4,3,16,17
13,13,2019-11-20,,HOU,W,105,95,44,94,.468,9,27,.333,8,15,.533,15,48,29,13,4,14,21,,32,76,.421,12,38,.316,19,25,.760,9,43,19,9,2,20,22
14,14,2019-11-22,,BOS,W,96,92,39,88,.443,7,28,.250,11,13,.846,11,48,24,7,5,17,17,,33,81,.407,7,27,.259,19,23,.826,5,40,21,12,6,11,19
15,15,2019-11-24,,PHO,W,116,104,43,91,.473,14,31,.452,16,23,.696,19,52,24,4,2,10,16,,41,82,.500,12,35,.343,10,12,.833,7,36,25,4,2,12,18
16,16,2019-11-26,,WAS,W,117,104,47,90,.522,6,24,.250,17,23,.739,10,58,31,8,6,20,20,,40,95,.421,10,40,.250,14,21,.667,5,36,26,9,3,12,22
