Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-24,,LAC,L,122,141,39,99,.394,15,42,.357,29,30,.967,15,42,27,7,0,13,21,,50,80,.625,18,32,.563,23,30,.767,3,39,33,7,5,17,24
2,2,2019-10-27,@,OKC,L,92,120,30,92,.326,5,33,.152,27,31,.871,12,39,17,13,2,14,15,,44,78,.564,15,32,.469,17,22,.773,8,50,24,8,5,23,26
3,3,2019-10-28,@,NOP,W,134,123,51,104,.490,14,35,.400,18,24,.750,19,61,37,8,2,18,22,,48,103,.466,15,47,.319,12,22,.545,11,41,36,13,7,15,20
4,4,2019-10-30,,PHO,L,110,121,36,82,.439,8,28,.286,30,36,.833,7,43,24,8,6,18,22,,44,96,.458,15,36,.417,18,21,.857,13,45,33,12,4,16,22
5,5,2019-11-01,,SAS,L,110,127,39,84,.464,13,28,.464,19,21,.905,7,39,25,4,2,11,22,,44,93,.473,13,35,.371,26,30,.867,16,52,23,4,2,11,19
6,6,2019-11-02,,CHO,L,87,93,34,77,.442,9,28,.321,10,13,.769,5,40,23,5,5,18,22,,36,85,.424,5,29,.172,16,23,.696,16,48,18,6,1,12,15
7,7,2019-11-04,,POR,W,127,118,42,86,.488,10,26,.385,33,36,.917,8,47,28,4,4,10,17,,47,105,.448,13,40,.325,11,14,.786,16,44,16,5,6,6,23
8,8,2019-11-06,@,HOU,L,112,129,38,96,.396,13,33,.394,23,28,.821,16,51,22,7,1,10,12,,48,97,.495,21,45,.467,12,19,.632,11,50,31,7,9,12,20
9,9,2019-11-08,@,MIN,L,119,125,43,103,.417,10,35,.286,23,24,.958,13,49,18,12,9,20,26,,48,111,.432,9,36,.250,20,29,.690,20,59,20,10,10,18,23
10,10,2019-11-09,@,OKC,L,108,114,42,85,.494,7,22,.318,17,17,1.000,6,34,22,9,6,15,18,,43,79,.544,14,30,.467,14,17,.824,7,42,30,7,5,18,17
11,11,2019-11-11,,UTA,L,108,122,45,94,.479,10,31,.323,8,14,.571,8,44,23,8,2,10,24,,40,81,.494,16,35,.457,26,32,.813,5,43,30,3,3,12,16
12,12,2019-11-13,@,LAL,L,94,120,36,89,.404,9,35,.257,13,17,.765,10,33,29,8,7,17,14,,48,89,.539,9,20,.450,15,18,.833,13,51,31,8,6,19,18
13,13,2019-11-15,,BOS,L,100,105,34,82,.415,5,28,.179,27,34,.794,12,55,17,8,4,19,19,,37,91,.407,13,33,.394,18,23,.783,11,47,24,13,5,14,24
14,14,2019-11-17,@,NOP,L,100,108,37,91,.407,7,25,.280,19,23,.826,9,43,23,7,3,10,19,,37,89,.416,18,46,.391,16,20,.800,11,48,24,3,5,13,21
15,15,2019-11-19,@,MEM,W,114,95,43,90,.478,9,29,.310,19,22,.864,11,51,33,5,10,14,24,,36,88,.409,9,25,.360,14,19,.737,7,37,26,6,4,12,23
16,16,2019-11-20,@,DAL,L,94,142,35,90,.389,8,27,.296,16,25,.640,9,34,18,7,5,9,16,,51,90,.567,22,38,.579,18,23,.783,8,50,33,7,7,11,21
17,17,2019-11-22,@,UTA,L,109,113,43,94,.457,12,28,.429,11,12,.917,6,37,28,11,3,8,18,,43,85,.506,14,32,.438,13,16,.813,8,48,23,4,10,17,14
18,18,2019-11-25,,OKC,L,97,100,37,89,.416,9,20,.450,14,16,.875,9,41,27,10,7,12,17,,40,85,.471,11,32,.344,9,11,.818,9,43,26,5,13,15,16
19,19,2019-11-27,,CHI,W,104,90,37,81,.457,11,29,.379,19,26,.731,13,54,31,12,9,20,17,,34,89,.382,10,29,.345,12,18,.667,14,42,20,14,4,17,20
20,20,2019-11-29,@,MIA,L,105,122,30,77,.390,10,28,.357,35,40,.875,5,31,19,4,3,9,23,,44,82,.537,13,25,.520,21,28,.750,10,49,23,7,3,15,30
21,21,2019-12-01,@,ORL,L,96,100,36,91,.396,6,23,.261,18,23,.783,15,46,21,6,5,10,17,,37,87,.425,11,33,.333,15,22,.682,12,48,21,7,8,12,20
22,22,2019-12-02,@,ATL,L,79,104,33,83,.398,3,17,.176,10,12,.833,18,46,17,11,8,23,20,,41,89,.461,8,29,.276,14,15,.933,11,38,21,13,4,14,12
23,23,2019-12-04,@,CHO,L,91,106,36,78,.462,9,23,.391,10,15,.667,6,37,18,7,3,16,12,,40,87,.460,21,48,.438,5,8,.625,11,44,30,11,7,13,20
24,24,2019-12-06,@,CHI,W,100,98,38,71,.535,9,24,.375,15,22,.682,6,39,24,9,4,19,19,,39,88,.443,17,41,.415,3,5,.600,10,37,21,11,2,14,20
25,25,2019-12-09,,MEM,L,102,110,35,93,.376,11,27,.407,21,25,.840,10,46,23,10,6,15,21,,41,82,.500,15,40,.375,13,17,.765,1,42,29,13,6,18,20
26,26,2019-12-11,,NYK,L,122,124,45,104,.433,10,37,.270,22,30,.733,14,46,27,10,6,8,25,,43,90,.478,12,29,.414,26,34,.765,12,58,25,5,7,18,24
27,27,2019-12-13,@,UTA,L,106,114,41,91,.451,9,29,.310,15,22,.682,14,48,19,9,7,12,26,,37,79,.468,16,38,.421,24,31,.774,7,43,22,5,3,13,20
28,28,2019-12-15,,SAC,L,79,100,30,76,.395,6,25,.240,13,18,.722,7,25,24,14,1,20,17,,38,63,.603,10,22,.455,14,16,.875,4,38,27,9,3,27,20
29,29,2019-12-18,@,POR,L,112,122,41,103,.398,16,38,.421,14,23,.609,17,50,24,7,7,8,23,,44,97,.454,9,31,.290,25,28,.893,14,57,19,6,8,10,22
30,30,2019-12-20,,NOP,W,106,102,36,83,.434,10,33,.303,24,25,.960,10,47,25,10,4,17,24,,39,93,.419,9,34,.265,15,23,.652,13,48,23,8,5,17,19
31,31,2019-12-23,,MIN,W,113,104,38,87,.437,12,30,.400,25,30,.833,13,55,27,11,6,19,27,,35,87,.402,11,34,.324,23,29,.793,9,40,16,10,7,16,18
32,32,2019-12-25,,HOU,W,116,104,41,87,.471,9,28,.321,25,28,.893,11,54,27,7,8,16,18,,37,100,.370,16,51,.314,14,16,.875,14,49,19,8,3,12,25
33,33,2019-12-27,,PHO,W,105,96,38,92,.413,9,27,.333,20,25,.800,11,41,22,10,5,10,17,,35,75,.467,7,33,.212,19,24,.792,11,49,22,6,1,26,21
