Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,MIA,L,101,120,38,89,.427,5,32,.156,20,30,.667,9,40,22,9,7,24,31,,40,85,.471,7,18,.389,33,39,.846,11,51,18,9,8,21,33
2,2,2019-10-25,,CHI,L,102,110,39,94,.415,10,29,.345,14,20,.700,15,56,24,8,6,18,21,,40,93,.430,12,42,.286,18,24,.750,9,45,18,14,7,13,21
3,3,2019-10-27,,BRK,W,134,133,50,103,.485,14,33,.424,20,25,.800,8,49,33,9,10,12,29,,44,101,.436,15,45,.333,30,37,.811,11,53,28,6,5,17,22
4,4,2019-10-29,@,LAL,L,91,120,31,95,.326,7,34,.206,22,23,.957,13,46,20,10,3,21,27,,40,86,.465,7,26,.269,33,39,.846,10,54,25,9,8,18,19
5,5,2019-11-02,,PHO,L,105,114,42,86,.488,9,28,.321,12,19,.632,13,46,26,9,8,20,23,,44,88,.500,14,34,.412,12,16,.750,4,32,26,9,2,17,20
6,6,2019-11-04,,HOU,L,100,107,40,94,.426,3,25,.120,17,21,.810,13,51,19,13,7,14,21,,35,93,.376,17,50,.340,20,29,.690,14,51,20,6,5,18,21
7,7,2019-11-06,,MIN,W,137,121,50,88,.568,12,23,.522,25,30,.833,8,49,34,4,3,17,22,,43,96,.448,16,45,.356,19,26,.731,10,36,29,9,7,11,22
8,8,2019-11-08,@,ORL,L,86,118,32,86,.372,11,29,.379,11,13,.846,4,36,23,3,5,18,22,,44,93,.473,7,28,.250,23,27,.852,12,57,24,10,10,9,17
9,9,2019-11-09,,DAL,L,122,138,50,95,.526,12,36,.333,10,14,.714,10,39,31,10,6,15,22,,52,97,.536,18,42,.429,16,20,.800,12,47,27,8,5,14,14
10,10,2019-11-11,@,SAS,W,113,109,44,87,.506,11,28,.393,14,20,.700,9,47,32,7,5,11,20,,42,90,.467,12,30,.400,13,17,.765,7,42,29,4,4,13,17
11,11,2019-11-13,@,CHO,W,119,117,48,89,.539,17,35,.486,6,9,.667,11,45,32,9,5,23,21,,43,87,.494,16,36,.444,15,19,.789,7,34,27,8,5,15,12
12,12,2019-11-15,,UTA,W,107,106,43,96,.448,10,35,.286,11,13,.846,9,46,25,6,5,11,23,,35,87,.402,9,34,.265,27,32,.844,9,45,17,5,6,14,16
13,13,2019-11-17,,DEN,L,114,131,39,84,.464,16,36,.444,20,24,.833,9,45,29,4,3,16,17,,49,89,.551,18,32,.563,15,23,.652,6,39,36,10,10,12,24
14,14,2019-11-19,,GSW,L,95,114,36,88,.409,9,25,.360,14,19,.737,7,37,26,6,4,12,23,,43,90,.478,9,29,.310,19,22,.864,11,51,33,5,10,14,24
15,15,2019-11-23,,LAL,L,108,109,43,89,.483,14,30,.467,8,13,.615,12,47,28,12,3,19,19,,38,84,.452,13,39,.333,20,29,.690,11,40,19,12,7,16,14
16,16,2019-11-25,@,IND,L,114,126,46,96,.479,13,29,.448,9,13,.692,8,40,30,6,5,8,16,,51,94,.543,18,33,.545,6,10,.600,10,47,29,6,6,13,11
17,17,2019-11-27,,LAC,L,119,121,43,92,.467,11,28,.393,22,26,.846,13,48,26,9,3,20,22,,44,95,.463,14,41,.341,19,25,.760,13,43,30,11,6,15,24
18,18,2019-11-29,,UTA,L,94,103,37,94,.394,10,34,.294,10,17,.588,15,55,22,1,8,11,17,,38,95,.400,12,35,.343,15,19,.789,11,52,18,8,2,5,15
19,19,2019-12-01,@,MIN,W,115,107,41,100,.410,16,40,.400,17,21,.810,12,50,27,8,3,11,26,,33,85,.388,11,36,.306,30,35,.857,10,53,22,7,6,16,21
20,20,2019-12-02,,IND,L,104,117,38,89,.427,10,38,.263,18,19,.947,8,38,23,5,6,11,20,,44,88,.500,16,38,.421,13,15,.867,8,44,31,4,2,15,22
21,21,2019-12-04,@,CHI,L,99,106,37,96,.385,7,30,.233,18,21,.857,11,46,24,14,6,12,28,,33,77,.429,13,33,.394,27,37,.730,10,50,22,5,13,20,22
22,22,2019-12-07,@,UTA,L,112,126,43,81,.531,10,35,.286,16,25,.640,5,28,23,15,3,14,19,,45,80,.563,19,34,.559,17,18,.944,9,41,32,8,0,22,25
23,23,2019-12-09,@,GSW,W,110,102,41,82,.500,15,40,.375,13,17,.765,1,42,29,13,6,18,20,,35,93,.376,11,27,.407,21,25,.840,10,46,23,10,6,15,21
24,24,2019-12-11,@,PHO,W,115,108,42,87,.483,10,24,.417,21,26,.808,7,55,23,8,4,18,28,,37,93,.398,9,34,.265,25,30,.833,8,44,29,6,4,12,20
25,25,2019-12-13,,MIL,L,114,127,38,98,.388,20,49,.408,18,23,.783,11,45,27,9,5,13,26,,44,87,.506,11,30,.367,28,33,.848,9,55,22,4,3,17,21
26,26,2019-12-14,,WAS,W,128,111,48,84,.571,11,27,.407,21,24,.875,9,46,32,11,7,23,24,,36,85,.424,14,38,.368,25,32,.781,11,34,22,12,4,18,22
27,27,2019-12-16,,MIA,W,118,111,42,86,.488,13,36,.361,21,30,.700,16,45,28,4,6,15,20,,37,81,.457,11,24,.458,26,31,.839,7,35,22,9,7,14,26
28,28,2019-12-18,@,OKC,L,122,126,50,99,.505,10,26,.385,12,15,.800,15,47,27,5,2,13,25,,46,84,.548,7,24,.292,27,34,.794,6,35,25,6,6,12,16
29,29,2019-12-20,@,CLE,L,107,114,44,102,.431,14,41,.341,5,7,.714,10,46,31,9,8,7,17,,40,92,.435,17,37,.459,17,23,.739,16,60,26,4,10,14,12
30,30,2019-12-21,,SAC,W,119,115,40,83,.482,15,35,.429,24,29,.828,8,44,32,8,6,14,16,,43,100,.430,11,36,.306,18,24,.750,18,51,22,10,3,12,23
31,31,2019-12-23,,SAS,L,115,145,45,96,.469,15,37,.405,10,16,.625,11,35,28,7,0,13,19,,60,89,.674,15,24,.625,10,14,.714,4,46,36,9,4,12,14
32,32,2019-12-26,@,OKC,W,110,97,46,84,.548,10,25,.400,8,11,.727,8,50,26,6,8,15,14,,38,92,.413,10,35,.286,11,13,.846,7,34,23,11,4,9,14
