Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,,DEN,L,100,108,36,87,.414,7,28,.250,21,23,.913,13,48,13,9,4,20,25,,34,81,.420,18,32,.563,22,27,.815,11,45,24,11,4,19,23
2,2,2019-10-25,@,SAC,W,122,112,46,85,.541,11,30,.367,19,22,.864,5,40,23,8,5,16,23,,37,87,.425,15,37,.405,23,27,.852,13,43,17,10,2,17,26
3,3,2019-10-27,@,DAL,W,121,119,45,87,.517,9,22,.409,22,26,.846,7,48,13,6,4,16,30,,37,94,.394,13,50,.260,32,41,.780,12,46,27,7,3,11,22
4,4,2019-10-28,@,SAS,L,110,113,39,100,.390,10,33,.303,22,27,.815,9,49,19,4,8,10,27,,41,85,.482,7,22,.318,24,32,.750,7,50,25,5,9,18,19
5,5,2019-10-30,@,OKC,W,102,99,34,86,.395,17,35,.486,17,24,.708,9,49,19,9,8,17,30,,33,84,.393,4,27,.148,29,37,.784,13,55,15,8,2,18,21
6,6,2019-11-02,,PHI,L,128,129,45,78,.577,19,34,.559,19,25,.760,4,36,21,7,4,18,21,,54,107,.505,11,33,.333,10,12,.833,13,46,36,11,8,11,23
7,7,2019-11-04,@,GSW,L,118,127,47,105,.448,13,40,.325,11,14,.786,16,44,16,5,6,6,23,,42,86,.488,10,26,.385,33,36,.917,8,47,28,4,4,10,17
8,8,2019-11-07,@,LAC,L,101,107,39,104,.375,11,39,.282,12,16,.750,17,51,18,7,4,13,27,,39,89,.438,4,23,.174,25,30,.833,13,57,20,6,12,17,14
9,9,2019-11-08,,BRK,L,115,119,40,97,.412,11,30,.367,24,25,.960,13,48,11,3,9,10,24,,41,99,.414,16,37,.432,21,30,.700,16,51,18,6,9,9,25
10,10,2019-11-10,,ATL,W,124,113,45,104,.433,12,36,.333,22,28,.786,16,61,19,10,9,17,22,,42,104,.404,11,41,.268,18,25,.720,11,48,21,11,8,16,26
11,11,2019-11-12,@,SAC,L,99,107,34,77,.442,8,30,.267,23,30,.767,7,40,15,4,5,17,19,,38,86,.442,11,32,.344,20,26,.769,11,46,24,9,5,14,25
12,12,2019-11-13,,TOR,L,106,114,38,96,.396,17,48,.354,13,16,.813,11,43,24,3,7,12,16,,42,92,.457,14,32,.438,16,17,.941,14,50,20,4,9,12,20
13,13,2019-11-16,@,SAS,W,121,116,42,93,.452,13,39,.333,24,26,.923,9,48,21,2,4,12,20,,41,88,.466,5,18,.278,29,34,.853,7,43,25,8,7,10,17
14,14,2019-11-18,@,HOU,L,108,132,40,96,.417,11,36,.306,17,23,.739,12,44,28,7,5,17,21,,47,100,.470,17,45,.378,21,26,.808,17,58,24,9,10,16,21
15,15,2019-11-19,@,NOP,L,104,115,40,92,.435,16,29,.552,8,13,.615,11,48,20,5,4,17,23,,41,93,.441,13,36,.361,20,24,.833,16,53,24,10,5,13,15
16,16,2019-11-21,@,MIL,L,129,137,50,103,.485,17,39,.436,12,14,.857,9,41,32,6,11,8,27,,50,106,.472,16,43,.372,21,26,.808,18,58,32,7,3,12,20
17,17,2019-11-23,@,CLE,L,104,110,39,87,.448,14,40,.350,12,16,.750,6,38,21,6,6,10,20,,37,87,.425,10,31,.323,26,32,.813,9,52,19,9,2,13,14
18,18,2019-11-25,@,CHI,W,117,94,46,89,.517,8,27,.296,17,22,.773,13,55,23,8,5,15,20,,36,86,.419,9,39,.231,13,20,.650,8,37,24,8,4,17,20
19,19,2019-11-27,,OKC,W,136,119,49,94,.521,14,30,.467,24,24,1.000,10,54,23,3,1,9,32,,39,88,.443,11,35,.314,30,38,.789,8,38,19,4,2,6,21
20,20,2019-11-29,,CHI,W,107,103,38,84,.452,10,30,.333,21,28,.750,8,49,20,6,11,13,21,,36,94,.383,14,38,.368,17,25,.680,11,47,24,8,2,11,22
21,21,2019-12-03,@,LAC,L,97,117,39,91,.429,7,27,.259,12,15,.800,12,49,20,5,6,13,23,,43,94,.457,17,34,.500,14,25,.560,11,49,25,7,3,10,15
22,22,2019-12-04,,SAC,W,127,116,47,84,.560,16,32,.500,17,21,.810,6,43,28,6,10,12,18,,44,95,.463,11,34,.324,17,23,.739,13,44,26,7,7,10,17
